order_date,lag1,roll7,dow_sin,dow_cos,mes_sin,mes_cos,festivo,bf,units_sold
2016-09-10,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-11,0.0,0.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-12,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-13,0.0,0.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-14,0.0,0.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-15,0.0,0.42857142857142855,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,3
2016-09-16,3.0,0.42857142857142855,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-17,0.0,0.42857142857142855,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-18,0.0,0.42857142857142855,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-19,0.0,0.42857142857142855,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-20,0.0,0.42857142857142855,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-21,0.0,0.42857142857142855,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-22,0.0,0.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-23,0.0,0.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-24,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-25,0.0,0.0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-26,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-27,0.0,0.0,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-28,0.0,0.0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-29,0.0,0.0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0,0,0
2016-09-30,0.0,0.0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0,0,0
2016-10-01,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,0
2016-10-02,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0,0,0
2016-10-03,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,0,0,0
2016-10-04,0.0,1.5714285714285714,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0,0,11
2016-10-05,11.0,2.4285714285714284,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0,0,6
2016-10-06,6.0,3.5714285714285716,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0,0,8
2016-10-07,8.0,4.571428571428571,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0,0,7
2016-10-08,7.0,5.428571428571429,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0,0,6
2016-10-09,6.0,6.285714285714286,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0,0,6
